EmployeeNumber,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel
662,2619,14561,362,43,17,0
663,5679,19627,1001,72,13,1
664,15402,17997,1236,40,11,1
665,5985,26894,1112,50,11,0
666,2579,2912,204,31,18,2
667,3041,16346,1420,85,11,1
669,3447,24444,1343,49,11,0
671,19513,9358,1315,35,12,1
675,2773,12145,604,69,20,0
677,7104,20431,1216,39,12,0
679,6322,18089,646,92,12,1
680,2083,22653,160,71,20,1
682,8381,7507,238,34,20,0
683,2691,7660,1397,42,12,1
684,4286,5630,306,100,14,2
686,2659,17759,991,71,13,1
689,9434,9606,482,36,15,1
690,5561,3487,1176,62,14,1
691,6646,19368,1017,82,13,0
692,7725,5335,1296,30,23,1
698,10725,6729,397,88,15,1
699,8847,13934,913,48,11,1
700,2045,15174,1115,54,13,0
701,1009,26999,1362,32,11,0
702,3348,3164,1076,70,11,0
704,1281,16900,727,41,18,2
705,2819,8544,885,58,16,1
707,4851,15678,810,57,22,1
709,4028,7791,243,46,20,0
710,2720,18959,806,76,18,1
712,8120,18597,817,56,12,0
714,4647,16673,1410,71,20,2
715,4680,15232,1225,80,17,0
716,3221,3297,1207,74,11,3
717,8621,17654,1442,46,14,0
720,4577,24785,693,65,14,0
721,4553,20978,408,80,11,0
722,5396,21703,929,55,12,0
723,6796,23452,562,50,14,1
724,7625,19383,827,33,13,0
725,7412,6009,608,68,11,0
727,11159,19373,1018,39,15,0
728,4960,11825,703,42,12,0
729,10475,23772,580,48,21,1
730,14814,13514,970,59,19,0
731,19141,8861,427,73,15,3
732,5405,11924,1179,84,14,0
733,8793,4809,294,32,21,2
734,19189,19562,314,59,12,1
738,3875,9983,316,54,15,1
741,2216,3872,654,67,13,0
742,11713,20335,427,63,14,1
743,7861,15397,168,81,14,0
744,3708,2104,381,49,14,0
746,13770,10225,217,49,12,2
747,5304,25275,501,99,23,1
749,2642,2755,1396,99,11,0
752,2759,20366,933,57,12,0
754,6804,23683,775,47,18,1
757,6142,7360,970,96,11,0
758,2500,4344,650,37,14,1
760,6389,18767,141,44,15,1
762,11103,20420,832,81,11,0
763,2342,22929,804,86,20,0
764,6811,23398,975,55,19,0
766,2297,17967,1090,83,14,2
769,2450,10919,346,86,17,0
771,5093,4761,1225,61,11,1
772,5309,21146,430,80,15,2
773,3057,20471,268,92,13,1
775,5121,4187,167,32,14,1
776,16856,10084,621,31,11,0
780,2686,5207,527,63,13,0
781,6180,22807,883,32,23,0
783,6632,12388,954,46,13,0
784,3505,19630,310,79,18,0
785,6397,10339,719,77,12,0
786,6274,18686,304,60,22,0
787,19859,21199,725,78,13,1
789,7587,14229,1434,76,15,0
791,4258,26589,715,41,18,1
792,4364,5288,575,71,14,1
793,4335,25549,657,66,12,1
796,5326,3064,1146,38,17,0
797,3280,13551,182,72,16,0
799,5485,22670,376,95,11,2
800,4342,24008,829,84,19,1
802,2782,19905,571,82,13,2
803,5980,26085,240,75,12,0
804,4381,7530,121,86,11,0
805,2572,20317,384,72,16,1
806,3833,24375,921,38,21,2
807,4244,9931,791,38,24,1
808,6500,13305,1111,93,17,1
809,18430,16225,570,66,13,1
811,1601,3445,1243,63,21,2
812,2694,26551,1092,60,11,3
813,3149,21821,1325,82,20,1
815,17639,6881,691,64,16,0
816,2319,6689,805,36,11,1
817,11691,25995,213,49,11,0
819,5324,26507,118,69,15,0
820,16752,12982,202,33,11,1
823,5228,23361,676,35,15,1
824,2700,23779,1252,81,24,1
825,19246,25761,286,31,12,0
826,2506,13301,1258,40,13,0
827,6062,4051,932,43,13,1
828,4382,16374,890,46,17,0
829,2143,25527,1041,36,13,1
830,6162,19124,859,98,12,1
832,5094,11983,720,51,14,0
833,6877,20234,946,52,24,0
834,2274,6153,252,95,14,0
836,4434,11806,933,98,13,1
837,6288,4284,471,45,15,1
838,2553,8306,702,100,16,0
840,7654,5860,1184,43,18,2
842,5160,21519,436,37,16,0
843,17159,5200,589,94,24,1
844,12808,8842,269,42,16,1
845,10221,18869,950,59,21,0
846,4779,3698,760,81,20,0
847,3737,2243,829,88,19,1
848,2366,20898,887,88,14,1
850,1706,16571,443,50,11,3
851,16307,5594,1318,66,14,1
852,5933,5197,625,50,12,0
854,3424,21632,180,65,13,0
855,4037,21816,586,48,22,1
856,2559,17852,1343,53,11,0
857,6201,2823,928,56,14,1
859,4403,9250,117,73,11,1
861,3761,2373,1012,75,12,1
862,10934,20715,661,78,18,1
864,10761,19239,930,74,12,1
865,5175,22162,638,91,12,1
867,13826,19028,890,81,22,0
868,6334,24558,342,66,19,2
869,4936,23965,1169,63,13,1
872,4775,19146,1230,33,22,2
874,2818,5044,986,62,24,1
875,2515,9068,1271,35,14,0
878,2342,8635,1278,77,21,0
879,4194,14363,141,98,18,0
880,10685,23457,607,66,20,1
881,2022,16612,130,96,19,1
882,2314,9148,300,61,12,1
885,4256,18154,583,87,12,0
887,3580,10554,1418,36,16,1
888,3162,10778,1269,46,17,0
889,6524,8891,379,48,14,1
893,2899,12102,395,98,19,1
894,5231,23726,1265,95,13,1
895,2356,14871,1222,48,19,1
896,2800,23522,341,48,19,3
897,11836,22789,868,73,14,1
899,10903,9129,672,78,16,0
900,2973,21222,1231,54,15,1
901,14275,20206,102,72,18,0
902,5562,21782,422,33,13,1
903,4537,17783,249,35,22,1
904,7642,4814,1252,32,13,0
905,17924,4544,881,98,11,1
909,5204,7790,1383,42,11,2
910,2277,22650,1075,57,11,1
911,2795,18016,374,87,24,0
912,2532,6054,1086,62,14,3
913,2559,7508,661,61,13,0
916,4908,24252,821,98,14,0
918,2380,13384,781,57,14,1
920,4765,23814,177,55,21,1
922,2044,22052,500,49,13,0
923,2693,8870,1427,65,19,0
924,6586,4821,1425,68,17,1
925,3294,13137,1454,65,18,0
926,4171,10022,617,34,19,1
927,2778,17725,1085,57,13,1
930,2377,9834,995,77,18,1
932,2404,4303,1122,70,21,0
933,2318,17808,618,76,19,0
934,2008,6896,546,83,14,2
936,6244,7824,462,68,17,0
939,2799,3339,1198,100,11,0
940,10552,9255,1272,37,13,1
941,2329,11737,154,41,15,0
942,4014,19170,1137,51,25,1
944,7403,22477,527,51,11,1
945,2259,5543,1469,51,17,2
947,6932,24406,1188,45,13,1
949,4678,23293,188,65,18,0
950,13582,16292,1333,80,13,1
951,2332,3974,1184,70,20,0
952,2413,18798,867,36,18,3
954,9705,20652,658,67,12,1
956,4294,11148,1283,52,12,0
957,4721,3119,263,59,13,0
958,2519,12287,938,79,21,0
959,2121,9947,419,37,13,0
960,2973,13008,129,84,19,0
961,5855,17369,616,41,11,2
964,3617,25063,1469,35,14,1
966,6725,13554,498,93,12,1
967,10325,5518,530,51,11,1
969,6949,12291,1069,42,14,0
970,10609,14922,625,46,11,0
972,4447,23163,805,57,12,0
974,2157,18203,1404,84,15,1
975,4601,6179,1219,86,16,0
976,17099,13829,1053,70,15,1
977,2479,26227,289,51,24,0
981,14852,13938,1376,45,13,1
982,7264,9977,231,62,11,1
983,5666,19899,152,85,13,0
984,7823,6812,882,92,13,1
985,7880,2560,903,41,18,0
986,13194,17071,1479,100,16,0
987,5067,6759,1379,64,19,0
990,5079,25952,1229,84,13,2
991,2321,10322,335,46,22,0
992,17444,20489,722,38,11,0
994,2404,11479,906,92,20,0
995,3452,17241,461,53,18,0
996,2270,11005,974,91,14,2
997,17399,6615,1126,66,22,1
998,5488,20161,827,84,13,1
999,19419,3735,840,64,17,1
1001,2811,12086,1134,37,14,1
1002,3633,14039,248,42,15,1
1003,4163,8571,955,83,17,0
1004,2132,11539,138,48,11,0
1005,13973,4161,939,95,18,1
1006,2684,12127,1391,66,17,1
1007,10845,24208,566,75,13,1
1009,4377,24117,1206,41,15,2
1010,3743,10074,622,39,24,1
1011,4148,11275,853,96,12,1
1012,1051,13493,287,73,15,0
1013,10739,13943,1441,56,11,1
1014,10388,6975,583,57,11,1
1015,11416,17802,153,73,12,3
1016,2600,18275,1097,98,15,0
1017,2422,25725,109,60,17,0
1018,5472,3334,1066,32,12,0
1019,2451,6881,217,94,15,1
1022,4240,13119,277,97,13,0
1024,10999,22245,1355,78,14,0
1025,5003,23371,549,42,14,0
1026,12742,7060,466,65,16,1
1027,4227,4658,1055,47,18,1
1028,3917,9541,802,45,20,1
1029,18303,7770,265,90,13,0
1030,2380,20165,804,64,18,0
1032,13726,21829,715,69,13,0
1033,4777,14382,1141,61,15,0
1034,6385,12992,135,62,14,2
1035,19973,20284,247,55,22,2
1036,6861,4981,1035,42,12,0
1037,4969,21813,265,79,18,0
1038,19845,25846,266,57,15,1
1039,13320,11737,1448,53,18,1
1040,6347,24920,145,95,12,1
1042,2743,8269,885,43,16,0
1043,10880,5083,945,82,13,0
1044,2342,21437,1038,88,19,0
1045,17650,5404,1234,90,13,1
1046,4025,11135,1109,69,12,0
1047,9725,12278,216,75,11,1
1048,11904,11038,1089,66,14,1
1049,2177,8318,788,36,16,0
1050,7525,23537,124,38,12,1
1052,4834,7858,660,81,14,1
1053,2042,15346,342,57,14,1
1055,2220,18410,1333,87,19,1
1056,1052,23384,1144,74,22,0
1060,2821,2997,1186,44,16,1
1061,19237,12853,1464,62,11,1
1062,4107,13848,124,35,15,0
1066,8396,22217,300,74,14,1
1068,2007,25265,921,66,13,2
1069,19627,21445,430,40,17,2
1070,10686,8392,1082,41,11,1
1071,2942,12154,1240,63,19,1
1073,8858,15669,796,51,11,0
1074,16756,17323,444,40,15,0
1076,10798,5268,415,79,13,1
1077,2323,17205,769,54,14,0
1079,1416,17258,1334,36,13,0
1080,4615,21029,1003,74,23,3
1081,2461,10332,1323,34,12,3
1082,8722,12355,1366,72,12,0
1083,3955,11141,192,59,16,2
1084,9957,9096,1176,85,15,1
1085,3376,18863,509,43,13,0
1088,8823,24608,330,65,18,1
1092,10322,26542,1492,61,20,1
1094,4621,5869,1277,87,19,3
1096,10976,15813,1091,65,18,1
1097,3660,7909,857,59,13,0
1098,10482,2326,1376,91,14,1
1099,7119,21214,654,34,15,1
1100,9582,10333,1204,86,22,0
1101,4508,3129,827,54,22,0
1102,2207,22482,895,50,16,1
1103,7756,22266,618,45,17,0
1105,6694,24223,309,88,14,3
1106,3691,4605,1219,32,15,1
1107,2377,19373,1330,37,20,1
1108,2313,2993,1017,55,20,0
1109,17665,14399,469,35,17,1
1111,2596,7160,1009,45,15,2
1113,4728,17251,959,81,14,0
1114,4302,13401,970,30,17,1
1115,2979,22478,697,40,17,3
1116,16885,16154,1262,35,22,0
1117,5593,17970,1050,65,13,1
1118,10445,15322,994,87,19,0
1119,8740,5569,770,73,14,2
1120,2514,26968,1107,93,22,1
1121,7655,8039,950,93,17,3
1124,17465,15596,406,52,12,1
1125,7351,20619,130,32,16,0
1126,10820,11535,1082,83,11,1
1127,12169,13547,203,84,11,3
1128,19626,17544,1308,44,14,0
1131,2070,25326,984,70,11,0
1132,6782,8770,439,70,15,0
1133,7779,23238,217,78,20,0
1135,2791,21981,793,67,12,1
1136,3201,19911,1451,67,17,0
1137,4968,18500,1182,54,11,1
1138,13120,11879,174,56,17,1
1140,4033,15834,1003,95,11,0
1143,3291,17940,490,61,14,2
1148,4272,9558,188,56,19,0
1150,5056,17689,718,79,15,1
1152,2844,6004,433,37,13,1
1154,2703,22088,773,39,14,1
1156,1904,13556,247,80,12,0
1157,8224,18385,603,77,17,0
1158,4766,9051,167,46,11,1
1160,2610,6233,874,72,12,1
1161,5731,17171,367,52,13,2
1162,2539,7950,199,55,13,1
1163,5714,5829,1400,70,20,0
1164,4323,7108,528,100,17,0
1165,7336,11162,408,45,13,1
1166,13499,13782,593,88,17,0
1167,13758,2447,481,44,12,0
1171,5155,2253,647,45,13,0
