EmployeeNumber,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear
434,3,4,4,3,1,2,1,2
436,3,13,13,12,11,9,1,2
437,3,5,5,4,0,4,1,3
438,3,13,7,7,1,7,4,3
439,3,10,7,7,0,7,7,0
440,3,5,3,2,2,2,5,4
441,3,11,10,8,1,9,1,2
442,4,10,10,9,8,9,1,2
444,3,21,21,9,13,3,1,2
445,3,12,1,0,0,0,4,3
446,3,9,7,7,0,1,3,6
447,3,21,3,2,1,1,4,2
448,3,9,9,7,0,0,1,3
449,3,6,5,4,1,4,0,0
450,3,20,4,3,0,3,3,4
451,3,10,1,0,0,0,8,1
452,3,12,10,9,9,8,9,3
453,4,6,4,3,0,2,2,2
454,3,7,7,7,0,7,1,4
455,3,4,3,2,2,2,0,2
456,3,10,10,9,1,2,1,2
458,3,8,8,7,0,7,1,3
460,3,8,6,2,0,4,7,2
461,3,12,11,10,2,9,0,3
462,3,11,11,9,4,10,1,2
463,3,7,7,7,1,7,1,2
464,3,17,16,6,0,13,0,5
465,3,4,4,2,0,2,1,2
466,3,8,5,4,1,2,6,3
467,3,5,0,0,0,0,3,3
468,3,16,1,0,0,0,2,2
469,3,4,4,3,0,2,1,3
470,3,4,3,2,1,0,0,5
471,3,8,8,0,0,7,1,4
473,4,15,0,0,0,0,3,3
474,3,13,7,7,6,7,4,2
475,3,4,2,2,2,2,7,2
476,3,8,8,7,7,7,1,3
477,4,14,1,0,0,0,3,6
478,3,3,3,2,1,2,1,3
479,3,7,1,0,0,0,4,6
481,3,16,13,9,1,12,4,2
482,3,15,3,2,1,2,2,2
483,3,10,7,7,1,7,3,3
484,4,3,3,2,2,2,1,3
485,3,1,1,0,0,0,1,2
486,4,17,5,4,0,3,6,3
487,3,7,1,0,0,0,2,2
488,3,8,8,7,7,7,1,5
491,3,20,4,3,1,3,6,2
492,3,8,6,4,1,0,2,6
493,3,3,2,2,2,2,0,5
494,3,1,1,0,0,0,1,0
495,3,6,3,2,1,2,9,4
496,3,10,1,1,0,0,9,5
497,3,5,5,2,0,4,1,2
498,3,7,7,5,0,7,1,1
499,4,26,5,2,0,0,8,2
500,3,18,7,7,0,7,4,2
501,3,6,2,2,2,2,4,3
502,3,9,5,2,0,4,8,3
505,3,30,5,4,1,2,2,2
507,3,5,5,2,0,3,1,2
508,3,1,1,0,0,0,1,3
510,4,7,6,4,0,4,0,2
511,3,2,2,1,1,2,1,1
513,3,10,10,9,9,0,1,2
514,4,3,1,0,0,0,9,4
515,3,18,18,7,12,17,1,2
516,3,8,5,4,1,3,7,5
517,3,8,5,2,1,2,3,5
518,3,18,1,0,0,1,2,2
520,3,25,25,10,3,9,1,3
521,4,20,1,0,0,0,6,3
522,3,24,4,2,1,2,4,4
523,3,6,3,2,1,2,9,3
524,3,13,13,10,3,12,1,5
525,4,8,3,2,1,2,7,1
526,3,8,5,2,0,2,4,3
527,3,5,5,4,1,3,1,3
529,3,15,13,11,10,7,3,2
530,3,4,4,2,3,2,1,3
531,3,21,21,8,1,6,1,3
532,3,36,7,7,7,7,9,0
533,3,6,5,4,4,4,0,6
534,3,10,10,7,0,7,1,2
536,3,10,10,0,1,8,1,2
538,3,6,2,2,0,2,5,5
543,3,28,5,4,0,4,2,4
544,4,8,2,2,0,2,3,3
546,3,31,5,2,1,4,2,2
547,3,19,5,4,0,2,2,3
548,4,11,5,4,0,2,2,2
549,3,33,29,8,11,10,5,5
550,3,19,10,7,0,8,2,5
551,3,7,6,5,0,4,0,4
554,3,6,5,3,1,4,1,4
555,3,3,2,2,1,0,0,3
556,4,1,1,0,0,0,1,3
558,3,21,20,15,1,12,0,2
560,4,3,3,2,0,2,1,3
562,3,9,5,3,1,4,4,3
564,3,10,10,2,0,7,1,2
565,3,6,2,2,1,1,5,2
566,3,1,1,0,0,0,1,3
567,3,10,9,8,7,8,0,3
568,3,32,1,0,0,0,3,3
569,3,28,27,10,15,7,0,2
571,3,12,11,7,6,7,0,2
573,3,22,18,13,13,11,4,5
574,3,20,5,0,0,4,5,2
575,3,26,3,2,0,1,6,2
577,3,6,5,4,4,3,0,2
578,3,19,1,0,0,0,7,3
579,3,14,7,3,5,7,3,3
580,3,15,3,2,1,2,2,3
581,4,13,13,8,0,8,1,6
582,3,15,7,6,7,7,7,2
584,3,8,4,3,1,3,7,2
585,3,4,3,2,1,2,0,3
586,3,10,8,7,0,0,4,2
587,3,12,1,0,0,0,3,2
590,3,11,3,2,0,2,9,2
591,3,8,2,2,2,0,4,4
592,3,10,10,3,9,7,1,3
593,3,4,2,2,1,2,5,3
595,3,14,9,7,6,7,2,2
597,4,37,10,9,7,7,3,2
599,3,16,14,3,1,10,7,3
600,3,15,11,9,6,9,9,2
601,3,22,20,6,5,13,7,3
602,3,8,8,3,0,7,1,3
604,3,10,6,5,0,5,4,2
605,4,10,10,9,5,8,1,5
606,3,9,8,7,3,7,0,3
608,3,8,7,7,1,0,0,2
611,3,8,3,2,1,2,4,2
612,3,10,6,1,0,5,4,2
613,4,10,5,4,0,1,9,3
614,3,0,0,0,0,0,1,3
615,3,20,1,0,0,1,3,2
616,3,10,8,7,0,7,2,3
618,3,8,0,0,0,0,5,5
620,3,5,5,4,0,3,1,3
621,3,10,10,7,5,7,1,3
622,3,1,1,0,0,0,1,3
623,3,12,6,5,1,2,4,3
624,3,28,2,2,1,2,5,3
625,3,22,18,16,11,8,7,2
626,3,9,9,5,7,7,1,6
630,3,18,10,9,6,9,3,3
631,3,6,4,2,1,2,8,2
632,3,3,2,2,2,1,0,3
634,3,18,1,0,0,0,3,4
635,3,8,6,5,4,3,6,2
638,3,31,31,9,0,9,1,5
639,3,6,6,5,1,4,1,3
641,4,6,5,3,1,4,1,5
643,4,1,1,0,0,0,1,2
644,3,32,32,5,10,7,1,2
645,3,7,7,4,0,6,1,1
647,3,6,6,3,1,2,1,4
648,3,1,1,0,0,0,1,2
649,3,6,6,5,1,3,1,3
650,3,9,3,1,1,2,2,2
652,3,9,3,2,0,2,4,3
653,4,13,7,7,5,7,4,4
655,3,6,5,3,0,3,0,5
656,3,17,3,0,1,0,4,3
657,3,1,1,0,0,0,1,0
659,3,10,10,2,2,2,1,4
661,3,21,1,0,0,0,4,3
662,3,8,0,0,0,0,3,3
663,3,10,8,7,4,7,3,3
664,3,21,3,2,0,2,7,3
665,3,10,2,2,0,2,4,1
666,3,8,8,2,0,6,1,3
667,3,5,4,3,0,2,0,3
669,3,3,3,2,1,2,1,2
671,3,26,2,2,0,1,4,2
675,4,3,2,2,2,2,0,3
677,3,6,5,0,1,2,0,3
679,3,6,6,4,0,5,1,2
680,4,1,1,0,0,0,1,2
682,4,18,14,7,8,10,7,2
683,3,10,10,9,8,8,1,4
684,3,5,1,1,0,0,2,4
686,3,3,3,2,0,2,1,2
689,3,10,10,7,7,8,1,2
690,3,6,6,0,1,2,1,5
691,3,17,17,11,11,8,1,3
692,4,15,13,11,4,7,3,2
698,3,16,9,7,7,1,2,1
699,3,13,3,2,0,2,2,2
700,3,5,4,2,1,1,0,0
701,3,1,1,0,1,1,1,5
702,3,10,10,8,9,7,1,3
704,3,1,1,0,0,0,1,3
705,3,5,3,2,0,2,2,3
707,4,4,3,2,1,2,0,4
709,4,8,7,7,0,5,0,2
710,3,10,10,7,2,8,1,5
712,3,12,2,2,2,2,3,3
714,4,6,6,5,0,4,1,3
715,3,4,1,0,0,0,3,2
716,3,20,20,8,3,8,1,3
717,3,9,8,7,7,7,1,3
720,3,4,2,2,2,0,9,3
721,3,20,20,7,11,10,1,4
722,3,10,10,7,0,8,1,2
723,3,18,4,3,1,3,3,4
724,3,10,9,7,1,8,0,4
725,3,9,9,7,0,7,1,3
727,3,10,7,7,7,7,3,6
728,3,20,7,7,1,7,2,2
729,4,20,18,13,1,12,5,2
730,3,32,5,1,1,3,3,3
731,3,23,21,6,12,6,3,2
732,3,10,2,2,2,2,8,1
733,4,9,9,7,1,7,1,4
734,3,22,22,7,2,10,1,3
738,3,4,2,2,2,2,7,2
741,3,10,7,7,3,7,7,4
742,3,10,8,7,0,5,9,2
743,3,10,1,0,0,0,4,4
744,3,9,5,2,1,4,2,5
746,3,28,22,2,11,13,9,2
747,4,10,8,7,7,7,7,2
749,3,1,1,0,0,0,1,6
752,3,7,2,2,2,2,6,2
754,3,7,2,2,2,2,3,5
757,3,10,5,1,4,3,3,2
758,3,5,4,3,0,2,1,2
760,3,12,8,3,3,6,9,3
762,3,30,10,7,1,1,7,1
763,4,5,4,2,2,3,0,2
764,3,9,7,6,0,7,8,2
766,3,2,2,2,2,2,1,2
769,3,19,2,2,2,2,2,4
771,3,16,1,0,0,0,2,2
772,3,10,10,8,4,7,1,2
773,3,6,1,0,0,1,6,0
775,3,7,0,0,0,0,3,3
776,3,34,34,6,1,16,1,3
780,3,10,10,9,7,8,1,2
781,4,6,6,5,1,4,1,5
783,3,9,8,7,3,1,0,3
784,3,2,2,2,0,2,1,3
785,3,8,5,4,1,3,4,2
786,4,6,6,5,1,4,1,5
787,3,24,5,2,1,4,5,2
789,3,10,10,7,0,9,1,1
791,3,5,4,3,1,2,0,3
792,3,5,2,2,2,0,3,2
793,3,11,8,7,1,1,4,3
796,3,6,4,3,1,2,6,2
797,3,10,4,2,1,3,2,2
799,3,9,5,3,1,4,9,4
800,3,5,4,2,1,1,0,3
802,3,6,5,3,4,3,0,3
803,3,17,15,7,4,12,6,2
804,3,6,6,5,1,3,1,3
805,3,3,3,2,0,2,1,1
806,4,7,2,2,0,2,3,2
807,4,8,8,7,3,7,1,2
808,3,6,3,2,1,2,5,1
809,3,24,24,7,14,9,1,4
811,4,1,0,0,0,0,1,2
812,3,1,1,0,0,0,1,4
813,4,9,5,2,1,4,8,3
815,3,30,4,3,0,3,5,3
816,3,1,1,0,0,0,1,1
817,3,14,13,9,3,7,0,3
819,3,6,3,2,0,2,5,3
820,3,26,26,14,3,0,1,3
823,3,10,9,7,0,5,0,2
824,4,10,10,7,0,7,1,3
825,3,40,31,15,13,8,7,2
826,3,7,2,2,2,2,3,0
827,3,8,4,3,0,2,9,4
828,3,5,2,2,2,1,6,3
829,3,8,5,2,0,4,4,2
830,3,14,14,13,6,8,1,3
832,3,10,1,0,0,0,6,6
833,4,12,0,0,0,0,5,4
834,3,1,1,0,0,0,1,3
836,3,10,9,8,7,8,1,3
837,3,13,4,3,1,2,2,3
838,3,6,5,2,1,3,1,3
840,3,9,9,8,7,7,1,3
842,3,12,9,7,7,3,4,3
843,4,22,4,1,1,0,6,3
844,3,9,9,8,0,8,1,3
845,4,17,8,5,1,6,3,3
846,4,8,8,7,7,5,1,2
847,3,4,3,2,0,2,0,1
848,3,8,8,7,1,7,1,2
850,3,0,0,0,0,0,1,6
851,3,29,20,6,4,17,2,2
852,3,10,5,2,2,3,9,2
854,3,6,4,3,0,1,7,3
855,4,9,9,8,0,8,1,5
856,3,6,6,5,1,1,1,3
857,3,18,18,14,4,11,1,1
859,3,8,5,2,0,3,2,3
861,3,10,5,4,0,3,9,3
862,3,35,5,2,0,4,7,3
864,3,18,5,4,0,2,4,2
865,3,9,5,3,1,3,5,3
867,4,31,9,8,0,0,3,3
868,3,9,1,0,0,0,4,2
869,3,6,5,1,0,4,1,6
872,4,4,2,2,2,2,6,2
874,4,10,3,2,0,2,2,2
875,3,8,2,1,2,2,5,2
878,4,6,5,4,0,3,0,3
879,3,5,5,3,0,3,1,3
880,4,17,17,14,5,15,1,2
881,3,10,10,2,7,8,1,3
882,3,4,3,0,0,2,0,2
885,3,5,5,2,0,3,1,1
887,3,7,4,2,0,2,2,2
888,3,6,5,2,3,4,0,2
889,3,10,10,8,5,3,1,3
893,3,3,2,2,1,2,0,3
894,3,17,5,3,1,3,2,1
895,3,8,6,4,0,2,3,2
896,3,5,3,2,0,2,6,3
897,3,28,2,0,2,2,5,3
899,3,16,13,10,4,8,3,2
900,3,10,5,4,0,0,5,3
901,3,33,12,9,3,8,6,0
902,3,12,5,2,2,2,4,2
903,4,8,7,6,7,7,0,2
904,3,10,10,0,0,9,1,2
905,3,31,31,6,14,7,1,3
909,3,13,5,4,0,4,8,2
910,3,7,4,3,0,3,3,4
911,4,1,1,0,0,1,1,2
912,3,8,4,3,0,3,6,5
913,3,8,8,7,7,1,1,0
916,3,4,4,2,0,2,1,3
918,3,3,1,0,0,0,9,3
920,4,4,1,0,0,0,4,2
922,3,2,2,2,0,2,1,3
923,3,1,1,0,0,0,1,3
924,3,17,16,8,4,11,0,2
925,3,3,3,2,1,2,1,3
926,3,4,3,2,0,2,0,3
927,3,10,7,7,1,0,4,1
930,3,6,2,2,2,2,5,2
932,4,8,2,2,2,2,7,2
933,3,1,1,1,0,0,1,2
934,3,1,1,0,1,0,1,3
936,3,10,5,4,0,3,7,6
939,3,6,3,2,0,2,3,1
940,3,24,6,0,0,4,2,3
941,3,13,7,7,5,2,3,2
942,4,10,10,6,0,7,1,2
944,3,29,26,9,1,7,4,3
945,3,13,0,0,0,0,4,2
947,3,9,9,8,0,0,1,2
949,3,8,6,2,0,1,2,6
950,3,15,15,12,5,11,1,3
951,4,5,3,0,0,2,6,3
952,3,1,1,0,0,0,1,2
954,3,11,1,0,0,0,2,2
956,3,7,7,7,0,7,1,2
957,3,20,18,13,2,17,2,3
958,4,16,11,8,3,9,4,6
959,3,1,1,0,0,0,1,3
960,3,1,1,0,0,0,1,2
961,3,10,9,7,8,5,0,2
964,3,3,1,1,0,0,8,2
966,3,8,8,7,6,3,1,2
967,3,16,16,7,3,7,1,6
969,3,6,5,0,1,4,0,3
970,3,17,14,1,11,7,5,2
972,3,9,9,7,0,8,1,5
974,3,3,3,1,0,2,1,5
975,3,5,5,2,1,0,1,3
976,3,26,9,8,7,8,2,2
977,4,7,1,0,0,0,4,4
981,3,22,17,13,15,2,6,3
982,3,10,8,4,7,7,5,2
983,3,6,5,3,1,3,1,1
984,3,12,10,9,0,8,6,2
985,3,9,8,7,0,7,0,3
986,3,22,1,0,0,0,4,2
987,3,20,19,10,2,7,1,3
990,3,12,7,7,0,7,4,3
991,4,4,3,2,1,2,0,0
992,3,10,10,8,6,0,1,2
994,4,3,0,0,0,0,6,5
995,3,5,3,2,0,2,3,4
996,3,8,5,3,0,2,3,2
997,4,32,5,4,1,3,9,1
998,3,6,6,5,1,2,1,2
999,3,21,18,16,0,11,2,2
1001,3,4,2,2,2,2,9,2
1002,3,9,9,8,0,8,1,2
1003,3,9,9,0,0,7,1,0
1004,3,7,5,2,0,1,4,2
1005,3,22,12,11,1,5,3,2
1006,3,3,2,1,0,2,0,0
1007,3,13,8,7,0,7,6,3
1009,3,5,4,2,3,2,1,6
1010,4,5,4,2,0,2,1,2
1011,3,4,4,3,0,3,1,1
1012,3,0,0,0,0,0,1,2
1013,3,22,10,7,0,8,8,2
1014,3,16,16,10,10,1,1,3
1015,3,9,8,7,1,7,0,4
1016,3,1,1,0,0,0,1,2
1017,3,4,3,2,1,2,0,3
1018,3,8,8,7,1,3,1,2
1019,3,4,4,3,1,1,1,3
1022,3,19,2,2,2,2,2,0
1024,3,27,15,11,4,8,7,3
1025,3,8,2,2,2,1,6,6
1026,3,21,21,6,11,8,1,3
1027,3,4,3,2,2,2,0,2
1028,4,3,3,2,1,2,1,4
1029,3,21,1,0,0,0,6,3
1030,3,8,1,0,0,0,4,5
1032,3,30,5,3,4,3,3,4
1033,3,15,1,0,0,0,5,2
1034,3,17,8,7,6,7,3,3
1035,4,21,21,16,5,10,1,3
1036,3,19,1,0,0,0,8,1
1037,3,7,2,2,2,2,8,6
1038,3,33,32,14,6,9,1,3
1039,3,23,12,11,11,11,3,2
1040,3,19,18,7,0,13,0,3
1042,3,18,17,13,15,14,1,1
1043,3,21,21,6,2,8,1,2
1044,3,3,2,2,2,2,0,2
1045,3,26,9,3,1,1,3,4
1046,3,10,8,7,7,7,9,2
1047,3,16,15,1,0,9,0,2
1048,3,14,6,4,0,4,3,1
1049,3,6,6,3,0,4,1,3
1050,3,30,15,7,6,12,2,2
1052,3,9,1,0,0,0,7,3
1053,3,6,3,2,1,2,6,2
1055,3,1,1,1,0,0,1,2
