EmployeeNumber,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance
302,4,4,4,2,3
303,4,1,4,3,3
304,4,2,4,3,4
305,3,2,4,2,3
306,2,4,3,3,3
307,1,3,3,3,2
308,3,3,4,1,3
309,3,4,1,2,3
311,1,4,3,3,3
312,2,4,4,3,3
314,3,3,1,3,4
315,3,4,3,2,2
316,3,4,2,2,2
319,3,4,4,3,3
321,2,3,4,3,2
323,4,4,3,3,2
325,3,4,3,3,1
327,4,4,3,3,3
328,1,1,1,3,4
329,1,3,4,2,4
330,3,2,1,3,3
331,4,3,4,2,1
332,3,3,3,3,3
333,3,4,1,3,3
334,3,1,1,3,2
335,1,4,1,3,3
336,3,4,3,4,3
337,2,3,1,3,3
338,3,4,3,2,2
339,4,1,2,2,3
340,3,1,1,2,2
341,1,3,4,4,3
342,1,3,2,3,3
343,3,3,4,3,3
346,3,4,1,3,3
347,4,1,3,4,3
349,4,4,4,3,3
350,1,3,4,3,3
351,4,1,3,2,3
352,1,3,4,3,3
353,3,4,2,3,2
355,3,2,2,2,4
359,2,2,3,4,1
361,4,4,4,2,3
362,4,1,4,2,3
363,3,2,2,1,2
364,1,3,3,3,1
366,1,2,2,2,3
367,2,4,2,2,3
369,2,1,4,4,3
372,3,4,2,3,3
373,4,4,3,3,3
374,4,1,3,3,3
376,1,2,4,3,2
377,4,4,4,3,2
378,3,4,2,3,4
379,4,3,1,2,4
380,1,4,1,3,3
381,2,2,2,4,2
382,1,1,3,4,3
384,3,2,1,3,1
385,1,2,1,3,2
386,3,3,4,3,2
387,2,3,3,3,3
388,2,4,1,3,2
389,2,4,4,3,3
390,1,1,3,3,3
391,4,4,2,3,3
392,4,3,4,3,1
393,4,4,2,3,3
394,1,2,4,3,3
395,4,4,4,3,3
396,3,1,4,3,3
397,3,2,4,3,3
399,4,2,3,3,2
401,4,4,2,2,3
403,2,4,3,3,2
404,3,2,4,3,4
405,3,3,3,3,3
406,3,2,3,3,2
407,3,4,4,4,3
408,4,2,4,1,3
410,4,2,2,3,3
411,4,3,1,2,3
412,2,1,3,4,3
416,2,4,2,4,2
417,3,4,1,4,2
419,2,2,3,3,3
420,4,3,3,2,2
421,1,2,3,2,3
422,4,3,4,1,3
423,3,4,3,3,3
424,1,1,4,2,3
425,1,1,1,3,3
426,3,4,2,3,1
428,4,2,2,3,3
429,3,1,4,3,3
430,3,4,1,3,3
431,3,3,4,2,3
433,3,2,1,2,2
434,3,2,2,3,2
436,3,2,4,2,3
437,4,3,1,3,3
438,4,4,4,3,3
439,1,4,3,4,2
440,1,4,4,1,2
441,4,4,4,3,3
442,3,3,1,2,3
444,3,4,1,2,3
445,4,3,1,3,2
446,2,4,3,2,2
447,4,3,2,3,3
448,3,3,2,2,4
449,3,2,4,3,3
450,4,3,4,3,2
451,3,1,1,3,2
452,4,4,1,3,3
453,2,4,3,1,2
454,2,1,4,1,2
455,2,4,3,2,3
456,4,3,3,2,3
458,2,2,1,3,3
460,4,4,3,3,2
461,3,4,2,2,3
462,3,4,3,3,2
463,4,2,1,2,3
464,3,2,4,3,3
465,3,4,3,3,2
466,4,2,4,2,3
467,2,3,1,3,3
468,1,4,2,3,3
469,4,3,1,3,2
470,3,3,3,3,3
471,3,2,3,3,3
473,1,3,2,3,1
474,3,1,1,4,3
475,4,3,2,3,4
476,3,3,2,3,3
477,1,4,2,2,3
478,1,2,3,2,3
479,4,4,2,3,3
481,1,4,1,2,3
482,4,3,3,3,3
483,4,3,3,4,3
484,1,4,3,3,2
485,4,3,2,3,3
486,3,1,2,3,3
487,3,3,3,3,4
488,1,2,3,3,3
491,4,4,4,2,3
492,3,3,1,2,3
493,3,2,4,2,3
494,3,2,4,4,3
495,4,4,4,3,3
496,3,2,3,2,3
497,4,2,2,3,3
498,2,4,4,3,3
499,2,3,3,2,3
500,3,4,3,3,2
501,4,3,2,3,3
502,1,4,2,4,2
505,3,4,3,3,3
507,4,3,4,3,4
508,3,2,1,3,3
510,3,1,3,3,3
511,1,2,4,3,3
513,2,3,2,2,3
514,3,4,3,3,3
515,4,1,3,3,2
516,4,2,3,3,3
517,2,1,2,3,3
518,3,2,4,3,2
520,1,2,3,2,3
521,2,3,2,2,3
522,1,1,3,3,2
523,3,3,1,3,3
524,2,1,2,3,1
525,4,4,1,3,3
526,3,3,4,3,3
527,2,4,2,2,3
529,2,3,1,3,3
530,4,1,3,2,3
531,2,3,3,3,3
532,3,1,4,4,2
533,2,3,2,3,3
534,2,1,3,4,3
536,3,1,4,3,3
538,1,1,3,3,3
543,4,3,3,2,3
544,1,4,4,3,2
546,4,4,4,3,1
547,1,3,2,3,3
548,3,4,3,1,3
549,1,1,4,3,1
550,3,3,3,3,2
551,4,4,4,2,4
554,1,2,2,3,3
555,4,3,4,1,2
556,4,4,3,3,3
558,3,3,4,3,3
560,1,4,2,3,1
562,3,4,3,3,1
564,2,3,3,2,3
565,3,2,2,2,4
566,1,4,3,2,4
567,3,1,3,3,3
568,1,4,3,2,2
569,2,3,2,2,3
571,3,4,3,3,2
573,3,1,4,2,4
574,1,4,3,3,3
575,1,3,3,3,1
577,4,3,3,1,3
578,3,3,3,3,3
579,4,3,3,2,3
580,3,4,3,2,3
581,3,2,4,3,4
582,2,3,4,3,4
584,1,4,1,1,3
585,4,2,1,3,3
586,4,3,3,3,3
587,1,3,1,3,3
590,2,1,3,3,3
591,2,3,4,3,3
592,2,4,4,3,2
593,3,3,3,2,3
595,2,4,1,3,3
597,1,2,4,3,3
599,4,4,4,3,3
600,2,3,3,3,3
601,2,3,3,3,3
602,3,3,1,3,3
604,2,4,3,3,4
605,4,1,4,3,2
606,4,2,2,3,4
608,2,3,2,3,2
611,4,4,2,3,4
612,1,3,3,4,3
613,3,4,3,2,2
614,2,2,4,3,3
615,3,1,3,1,3
616,1,3,1,2,3
618,1,3,1,3,3
620,1,3,4,3,3
621,4,4,4,4,3
622,3,4,2,1,1
623,2,4,4,3,4
624,1,3,4,3,2
625,2,1,2,3,3
626,1,2,4,3,3
630,4,1,2,3,3
631,4,3,4,4,3
632,4,4,3,3,3
634,3,3,3,3,3
635,2,2,2,3,2
638,4,3,3,2,3
639,2,4,2,4,3
641,1,2,4,3,4
643,4,2,4,2,3
644,1,2,3,3,3
645,2,3,3,3,3
647,1,3,4,3,3
648,2,1,3,2,4
649,2,4,4,2,3
650,2,1,3,3,1
652,1,4,4,2,3
653,1,4,4,4,4
655,1,3,3,2,2
656,4,3,3,3,2
657,4,2,4,2,4
659,3,4,2,3,3
661,2,4,3,2,2
662,3,1,4,3,2
663,4,3,2,3,3
664,4,1,1,2,1
665,1,3,2,2,4
666,3,3,4,3,3
667,3,1,2,3,3
669,3,3,3,3,3
671,4,4,1,3,4
675,1,3,4,3,3
677,3,3,4,3,3
679,1,4,4,3,2
680,3,3,3,3,3
682,4,1,4,3,4
683,2,4,4,3,2
684,1,1,4,3,3
686,3,4,3,3,3
689,3,3,3,3,3
690,2,3,1,3,2
691,2,4,2,1,3
692,3,4,3,3,1
698,3,2,3,3,4
699,2,2,3,2,3
700,1,4,4,2,3
701,4,3,4,3,3
702,1,1,1,3,3
704,3,3,3,2,3
705,1,1,1,4,4
707,4,2,3,4,3
709,4,4,1,2,3
710,2,4,4,1,3
712,2,2,4,4,3
714,4,4,2,4,3
715,4,4,1,4,3
716,4,3,3,4,3
717,4,2,2,2,4
720,1,3,1,3,3
721,4,3,1,2,3
722,4,4,4,3,2
723,2,3,1,3,3
724,2,4,3,4,2
725,3,1,4,3,3
727,3,4,4,3,3
728,4,1,4,3,3
729,4,1,3,2,3
730,3,3,3,4,3
731,2,4,2,2,2
732,1,1,4,3,3
733,4,1,3,3,2
734,4,3,2,2,3
738,4,2,4,3,3
741,1,2,4,1,3
742,1,1,1,4,3
743,3,3,4,3,4
744,1,3,3,1,3
746,4,3,4,3,2
747,3,4,4,3,2
749,3,3,3,3,3
752,3,3,4,4,3
754,4,4,3,2,3
757,2,3,4,3,3
758,2,1,4,3,4
760,3,2,3,4,1
762,3,4,3,3,2
763,4,4,4,2,2
764,4,1,1,2,1
766,4,2,4,3,3
769,4,4,4,3,3
771,4,1,1,3,4
772,1,4,4,3,3
773,4,3,2,3,1
775,2,1,3,3,3
776,3,1,1,2,4
780,4,4,3,3,2
781,3,4,2,3,2
783,2,3,1,1,3
784,1,3,4,4,3
785,2,3,4,4,3
786,4,4,3,3,3
787,4,1,4,3,3
789,1,1,2,2,3
791,4,4,1,3,3
792,1,4,1,1,3
793,2,3,1,3,2
796,4,1,3,2,2
797,2,4,3,4,3
799,4,1,2,3,3
800,3,4,2,3,3
802,4,1,2,3,2
803,1,1,4,4,3
804,3,1,3,2,3
805,1,4,2,3,2
806,4,3,3,1,3
807,3,2,4,4,3
808,3,1,2,3,3
809,2,4,2,3,2
811,3,1,3,4,3
812,3,2,3,2,3
813,4,3,2,3,3
815,3,3,4,3,3
816,2,1,4,2,3
817,3,3,4,3,4
819,1,1,3,3,3
820,3,4,3,3,2
823,3,2,1,3,3
824,3,3,3,4,3
825,4,2,4,3,3
826,4,3,3,4,3
827,4,4,4,2,3
828,3,3,4,3,2
829,3,2,2,3,3
830,3,3,3,2,3
832,1,3,4,2,3
833,3,4,2,2,2
834,2,3,4,2,3
836,2,2,4,3,2
837,1,1,3,2,2
838,3,4,3,2,3
840,3,4,1,3,4
842,3,4,3,3,2
843,2,1,3,3,3
844,3,4,2,2,3
845,3,3,2,3,4
846,2,2,1,3,3
847,3,4,3,3,1
848,3,3,1,2,3
850,4,4,3,3,2
851,1,3,3,3,2
852,4,2,4,3,2
854,1,1,3,4,2
855,1,1,1,4,3
856,3,1,4,2,2
857,2,4,4,3,2
859,2,4,3,3,2
861,2,4,2,2,2
862,1,4,4,2,3
864,4,1,3,3,3
865,3,3,3,4,2
867,3,4,3,2,3
868,4,3,4,2,3
869,2,4,4,2,3
872,4,4,1,2,1
874,1,4,3,4,2
875,2,4,4,3,3
878,1,1,3,2,3
879,3,1,4,3,3
880,4,3,2,2,3
881,4,2,1,3,2
882,4,4,2,3,3
885,3,1,1,2,4
887,3,1,2,3,3
888,1,4,4,2,2
889,2,2,4,3,3
893,2,2,4,2,3
894,3,4,2,4,2
895,4,4,2,3,3
896,2,3,3,2,3
897,1,4,3,3,3
899,4,2,1,2,3
900,3,4,2,3,3
901,4,4,3,3,3
902,4,4,2,3,2
903,3,4,1,3,3
904,1,2,4,3,3
905,1,1,4,3,3
909,4,4,3,2,3
910,4,2,3,3,4
911,1,4,3,3,1
912,1,4,3,2,3
913,2,1,4,3,3
916,1,4,2,3,3
918,4,4,4,2,2
920,1,2,3,3,4
922,3,3,4,2,2
923,4,4,1,3,2
924,3,4,1,3,2
925,4,4,1,2,2
926,2,3,1,3,4
927,2,4,3,1,2
930,3,3,2,3,3
932,4,1,4,3,1
933,2,3,3,3,3
934,2,2,2,3,3
936,3,3,1,2,3
939,3,1,2,2,3
940,3,2,4,2,3
941,2,3,2,2,4
942,4,4,4,3,1
944,1,2,3,3,2
945,4,3,1,3,2
947,4,3,4,3,2
949,2,4,3,3,3
950,4,1,2,3,3
951,3,2,3,2,3
952,3,2,3,2,3
954,1,2,2,2,2
956,3,1,2,2,3
957,4,1,3,3,3
958,3,3,3,3,3
959,4,2,2,2,4
960,1,1,2,3,3
961,4,4,3,3,1
964,4,2,4,3,3
966,3,1,3,3,4
967,3,4,1,2,3
969,2,4,1,2,3
970,1,3,3,2,1
972,3,2,2,3,2
974,3,4,2,3,3
975,3,3,2,3,3
976,4,4,2,3,2
977,4,3,1,3,3
981,3,3,3,3,4
982,3,3,1,3,4
983,3,4,2,3,3
984,4,4,2,3,3
985,1,3,4,4,3
986,2,2,4,4,2
987,3,3,3,4,4
990,1,4,4,3,3
991,3,1,1,2,3
992,4,3,4,3,3
994,4,1,3,2,3
995,2,4,1,3,3
996,4,4,4,3,3
997,4,4,3,3,2
998,3,2,1,4,3
999,1,3,2,3,4
1001,3,2,2,3,3
1002,4,1,3,3,3
1003,4,4,3,3,3
1004,1,3,2,3,3
1005,4,3,4,3,3
1006,3,3,2,3,2
1007,4,3,2,3,3
1009,4,3,2,2,3
1010,3,2,4,2,1
1011,3,1,3,3,3
1012,2,4,4,3,3
1013,3,3,3,3,3
1014,3,3,3,3,2
1015,2,1,3,4,2
1016,4,1,1,2,3
1017,2,2,1,3,3
1018,4,4,2,4,3
1019,2,1,1,1,2
1022,1,3,4,2,3
1024,3,3,2,2,3
1025,4,3,2,3,3
1026,4,4,3,2,3
1027,1,4,2,3,3
1028,2,4,1,3,2
1029,4,3,2,3,4
1030,1,4,2,3,3
1032,3,4,1,2,3
1033,1,2,1,1,1
1034,3,2,4,3,3
1035,2,3,2,1,3
1036,2,4,3,3,3
1037,2,1,4,1,3
1038,1,4,4,1,3
1039,4,4,3,4,3
1040,4,3,1,3,3
1042,3,1,3,4,3
1043,4,1,3,3,3
1044,2,4,4,2,2
1045,4,4,2,3,4
1046,4,3,2,3,3
1047,2,4,4,4,2
1048,2,4,3,3,1
1049,2,2,1,3,3
1050,3,2,1,2,3
1052,1,3,2,3,2
1053,1,1,2,3,3
1055,3,3,4,3,3
1056,4,2,2,3,3
1060,3,3,1,3,3
1061,2,3,4,3,2
1062,4,2,1,3,2
1066,3,1,2,3,2
1068,1,3,3,2,3
1069,4,4,4,3,3
1070,3,3,2,2,3
1071,1,3,2,3,3
1073,4,4,2,2,2
1074,3,1,2,2,4
1076,3,4,3,2,3
1077,4,4,2,3,3
1079,3,1,1,2,2
1080,4,1,1,2,3
1081,1,3,3,3,4
1082,2,1,1,2,2
1083,1,1,1,2,3
1084,3,1,3,3,2
1085,2,3,3,4,3
1088,3,3,1,2,2
1092,1,4,4,3,3
1094,1,3,4,1,3
1096,4,2,2,3,3
1097,3,3,4,3,4
1098,2,1,4,2,3
1099,4,4,3,2,3
1100,4,1,1,3,3
1101,1,3,2,2,3
1102,1,3,4,3,2
1103,1,4,3,3,2
1105,4,4,3,2,3
1106,4,4,2,3,4
1107,1,3,3,3,2
1108,1,2,2,2,3
1109,4,1,4,3,3
1111,1,2,1,2,3
1113,4,3,4,3,3
1114,4,2,3,3,3
1115,3,4,4,2,3
1116,1,4,3,4,2
1117,2,3,4,2,3
1118,2,2,4,3,3
1119,3,3,2,2,3
1120,3,4,1,3,3
1121,4,2,2,3,2
1124,1,3,4,3,3
1125,4,2,3,3,3
1126,3,1,3,3,3
1127,1,4,4,3,3
1128,3,3,1,2,4
1131,4,2,3,2,4
1132,3,2,3,3,2
1133,1,4,1,3,3
1135,3,4,1,4,3
1136,1,2,1,2,1
1137,4,4,4,3,3
1138,4,2,2,2,3
1140,4,3,4,3,2
1143,4,2,4,3,2
1148,2,4,1,1,3
1150,2,4,3,2,2
1152,3,3,4,4,4
1154,3,3,4,2,3
1156,3,3,4,3,3
1157,1,1,1,3,3
1158,2,4,1,3,3
1160,3,3,3,3,2
1161,3,4,3,2,3
1162,4,3,3,2,3
1163,2,3,1,3,2
1164,3,3,2,3,1
1165,4,1,1,2,1
1166,2,3,3,3,2
1167,3,1,2,3,2
1171,2,1,4,3,4
1172,4,3,2,2,3
1173,4,2,4,3,3
1175,3,4,4,3,2
1177,1,4,2,4,3
1179,3,3,1,2,3
1180,3,4,4,2,1
1182,3,2,2,2,4
1184,4,1,3,2,3
1185,4,4,2,2,4
1188,1,3,2,1,2
1190,3,1,3,3,3
1191,4,1,4,3,3
1192,2,4,1,3,3
1193,3,1,3,3,3
1195,1,3,3,3,2
1196,4,4,2,2,2
1198,1,3,1,2,2
1200,3,3,3,3,3
1201,4,3,2,3,3
1202,2,4,1,1,2
1203,3,4,2,2,3
1204,3,1,1,3,3
1206,4,3,4,1,3
1207,2,3,4,3,3
1210,1,1,1,2,1
1211,3,1,3,3,3
1212,2,2,4,3,3
1215,4,1,3,3,3
1216,4,1,3,2,3
1217,4,2,1,3,3
1218,3,1,4,3,3
1219,4,2,1,3,1
1220,2,3,1,3,2
1221,3,3,3,1,3
1224,3,3,1,3,2
1225,4,4,2,3,3
1226,3,4,4,4,3
1228,4,4,3,3,2
1231,4,1,1,4,4
1233,2,4,2,4,3
1234,3,2,3,2,3
1235,4,3,4,3,3
1237,3,1,3,1,3
1238,1,4,2,3,3
1239,2,2,2,2,4
1240,3,4,2,3,3
1241,4,2,1,3,3
1242,1,1,3,3,3
1243,3,4,2,2,2
1244,1,1,4,3,2
1245,4,3,1,3,1
1246,1,4,4,4,3
1248,1,2,2,2,4
1249,1,4,1,3,3
1250,4,4,1,3,3
1251,3,1,4,3,2
1252,3,1,2,2,3
1254,3,4,4,2,3
1255,3,4,2,1,3
1256,1,3,3,2,4
1257,3,2,3,3,2
1258,4,2,3,4,2
1259,1,3,2,3,3
1260,3,4,2,3,3
1263,4,4,3,2,4
1264,4,4,2,2,2
1265,3,3,4,4,2
1267,2,2,3,3,3
1268,4,3,4,4,3
1269,2,4,4,4,3
1270,4,3,4,3,3
1273,3,4,4,1,3
1275,3,4,2,3,2
1277,1,2,1,1,3
1278,4,2,4,2,3
1279,1,3,3,2,1
1280,4,2,3,2,3
1281,3,1,4,3,3
1282,4,2,1,3,2
1283,4,4,4,3,2
1285,3,2,3,3,4
1286,4,3,3,3,2
1288,3,1,4,4,2
1289,3,2,4,2,4
1291,3,3,4,3,3
1292,2,2,4,4,3
1293,4,4,4,2,4
1294,3,2,4,3,3
1295,1,4,4,3,3
1296,4,4,2,2,3
1297,2,3,2,2,2
1298,3,3,3,3,3
1299,2,3,1,3,3
1301,4,1,2,3,2
1303,4,2,4,3,2
1304,3,4,3,4,4
1306,2,2,3,3,3
1307,3,2,4,2,3
1308,1,3,4,3,3
1309,4,3,1,3,3
1310,3,1,1,3,3
1311,1,4,1,2,3
1312,4,3,1,3,3
1314,4,1,3,3,4
1315,3,4,1,1,3
1317,4,1,2,3,3
1318,4,2,3,2,3
1319,2,2,3,3,2
1321,2,1,4,3,3
1322,1,3,1,3,3
1324,4,3,1,3,2
1329,3,2,1,1,3
1331,4,2,1,3,4
1333,1,1,3,3,4
1334,3,3,4,3,2
1336,4,3,4,1,3
1338,4,2,1,3,3
1340,3,3,2,3,3
1344,4,4,4,3,2
1346,3,4,3,3,3
1349,3,1,4,3,3
1350,3,3,2,3,3
1352,3,2,2,3,3
1355,2,1,4,3,3
1356,3,1,4,3,4
1358,4,4,3,3,2
1360,3,1,4,2,2
1361,2,2,3,3,3
1362,1,1,4,4,2
1363,4,4,3,3,3
1364,3,4,2,4,3
1367,4,2,2,2,2
1368,4,4,3,3,4
1369,4,4,2,2,3
1371,4,4,2,1,3
1372,1,3,3,4,2
1373,4,2,1,3,3
1374,1,3,3,2,3
1375,2,3,2,4,3
1377,2,3,1,3,3
1379,3,4,3,2,4
1380,4,3,3,3,2
1382,4,3,4,4,3
1383,3,4,4,3,4
1387,3,1,3,2,3
1389,4,3,4,3,2
1390,1,4,4,2,4
1391,2,2,2,3,3
1392,4,4,1,3,2
1394,3,3,4,3,3
1395,2,4,1,3,4
1396,3,2,1,3,2
1397,3,3,2,3,3
1399,1,3,2,4,2
1401,4,3,2,4,2
1402,1,3,1,2,1
1403,4,4,4,2,3
1405,4,3,4,3,3
1407,1,4,4,2,3
1408,3,1,3,3,3
1409,3,1,3,3,1
1411,1,3,1,3,3
1412,3,4,3,3,3
1415,1,4,2,3,2
1417,3,1,4,4,3
1419,2,1,1,2,2
1420,1,1,1,2,3
1421,3,4,1,3,3
1422,4,4,4,3,2
1423,4,1,3,3,3
1424,2,4,4,4,4
1425,1,2,4,3,3
1427,2,3,2,1,3
1428,4,1,2,3,3
1430,1,2,3,3,4
1431,4,1,3,3,3
1433,1,2,3,2,4
1434,2,1,2,3,4
1435,1,4,3,2,2
1436,3,1,1,2,2
1438,1,4,3,3,2
1439,1,1,1,2,3
1440,3,3,1,4,1
1441,1,1,4,3,4
1443,1,3,2,3,4
1445,4,3,3,3,3
1446,4,4,3,3,2
1447,4,2,1,2,2
1448,2,3,1,4,2
1449,3,3,3,3,4
1453,1,4,1,3,3
1457,1,4,1,3,4
1458,1,1,2,2,4
1459,3,2,1,4,3
1460,2,1,2,1,3
1461,4,2,4,4,3
1464,2,4,3,3,1
1465,2,4,4,3,4
1466,3,1,1,3,3
1467,1,3,4,3,3
1468,4,2,3,2,3
1469,4,1,4,3,3
1471,3,3,4,2,3
1472,4,2,2,4,2
1473,1,3,2,3,2
1474,3,3,3,3,4
1475,4,2,3,3,2
1477,4,1,1,3,3
1478,4,1,4,1,3
1479,4,3,3,3,2
1480,1,4,3,3,3
1481,1,3,3,3,2
1482,3,3,2,3,2
1483,2,3,1,4,2
1484,3,2,2,3,3
1485,2,1,4,3,2
1486,1,3,4,3,4
1487,1,2,1,3,1
1489,1,2,3,2,4
1492,4,3,1,3,3
1494,2,1,3,3,2
1495,4,2,3,3,3
1496,2,3,2,3,2
1497,3,3,3,2,3
1499,3,3,1,3,4
1501,4,3,2,3,3
1502,1,2,4,2,3
1503,3,3,3,3,2
1504,3,1,3,2,2
1506,1,3,4,2,1
1507,3,1,4,3,3
1509,3,1,1,2,3
1513,4,2,3,3,3
1514,3,2,2,1,2
1515,4,3,1,3,3
1516,3,4,2,3,4
1520,2,4,1,3,3
1522,1,1,3,2,1
1523,4,1,3,3,4
1525,2,2,4,3,3
1527,3,2,4,3,4
1529,4,2,4,2,1
1533,1,3,2,3,3
1534,4,1,2,3,1
1535,4,3,4,2,3
1537,4,3,1,3,1
1539,3,4,4,1,3
1541,2,3,2,3,3
1542,3,2,2,2,3
1543,1,4,1,3,3
1544,3,1,3,1,3
1545,4,2,4,2,3
1546,4,4,4,3,3
1547,4,4,3,3,1
1548,1,1,4,3,4
1549,2,3,2,3,3
1550,3,4,4,3,3
1551,3,1,2,2,3
1552,4,4,3,3,3
1553,1,2,1,3,3
1554,2,3,1,2,3
1555,4,2,1,2,3
1556,3,4,4,3,2
1557,3,3,3,3,3
1558,3,3,1,4,2
1560,1,1,4,3,1
1562,2,1,4,2,3
1563,3,3,3,3,3
1564,4,1,2,2,3
1568,3,2,2,3,3
1569,1,1,4,3,3
1572,3,4,2,2,3
1573,3,2,1,3,3
1574,4,1,2,3,2
1576,3,1,4,3,2
1577,1,4,3,3,1
1578,3,4,3,2,3
1580,2,4,2,3,2
1581,1,4,1,3,3
1582,3,2,4,3,3
1583,2,2,2,3,4
1585,2,3,1,3,3
