EmployeeNumber,Department,JobRole,JobLevel,BusinessTravel,OverTime
178,Research & Development,Manufacturing Director,2,Travel_Rarely,No
179,Research & Development,Manufacturing Director,3,Travel_Frequently,No
182,Sales,Sales Executive,2,Travel_Rarely,No
183,Sales,Sales Executive,2,Travel_Rarely,No
184,Human Resources,Human Resources,2,Travel_Rarely,Yes
190,Research & Development,Laboratory Technician,1,Travel_Rarely,No
192,Research & Development,Research Scientist,1,Travel_Rarely,No
193,Research & Development,Research Scientist,2,Travel_Rarely,Yes
194,Research & Development,Research Scientist,1,Travel_Rarely,No
195,Sales,Sales Executive,2,Travel_Frequently,No
197,Research & Development,Research Scientist,1,Travel_Rarely,No
198,Research & Development,Laboratory Technician,1,Travel_Rarely,No
199,Research & Development,Manager,4,Travel_Frequently,No
200,Research & Development,Laboratory Technician,1,Travel_Rarely,No
201,Research & Development,Laboratory Technician,1,Travel_Rarely,No
202,Research & Development,Research Scientist,2,Travel_Frequently,No
204,Sales,Sales Executive,3,Travel_Rarely,No
205,Sales,Sales Representative,2,Travel_Rarely,Yes
206,Research & Development,Laboratory Technician,2,Travel_Rarely,No
207,Sales,Sales Executive,3,Travel_Frequently,No
208,Research & Development,Manufacturing Director,2,Non-Travel,No
211,Research & Development,Manufacturing Director,2,Travel_Rarely,No
214,Research & Development,Research Scientist,1,Travel_Rarely,Yes
215,Sales,Sales Executive,3,Travel_Rarely,No
216,Sales,Sales Representative,1,Travel_Frequently,No
217,Research & Development,Research Scientist,1,Travel_Rarely,No
218,Research & Development,Research Scientist,1,Non-Travel,No
221,Research & Development,Research Scientist,1,Travel_Rarely,No
223,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes
224,Research & Development,Research Scientist,1,Non-Travel,Yes
226,Research & Development,Manager,5,Travel_Rarely,No
227,Research & Development,Research Scientist,1,Travel_Rarely,No
228,Sales,Sales Executive,3,Travel_Rarely,No
230,Sales,Sales Executive,2,Travel_Rarely,No
231,Research & Development,Research Scientist,1,Travel_Rarely,No
233,Research & Development,Research Scientist,1,Travel_Rarely,Yes
235,Sales,Sales Representative,1,Travel_Frequently,No
238,Research & Development,Laboratory Technician,1,Travel_Frequently,No
239,Research & Development,Laboratory Technician,2,Non-Travel,No
240,Sales,Sales Executive,2,Travel_Rarely,Yes
241,Research & Development,Research Scientist,1,Travel_Rarely,Yes
242,Research & Development,Research Scientist,1,Travel_Rarely,No
243,Research & Development,Laboratory Technician,1,Travel_Rarely,No
244,Sales,Sales Executive,3,Travel_Rarely,No
245,Research & Development,Laboratory Technician,1,Travel_Rarely,No
246,Research & Development,Research Scientist,1,Travel_Rarely,Yes
247,Research & Development,Research Scientist,1,Travel_Rarely,No
248,Sales,Sales Representative,1,Travel_Rarely,Yes
249,Research & Development,Laboratory Technician,1,Travel_Rarely,No
250,Research & Development,Manufacturing Director,2,Travel_Rarely,No
252,Research & Development,Research Scientist,1,Travel_Rarely,No
253,Research & Development,Manager,5,Travel_Rarely,No
254,Research & Development,Research Director,5,Travel_Rarely,No
256,Research & Development,Manufacturing Director,2,Travel_Frequently,No
258,Research & Development,Healthcare Representative,4,Travel_Rarely,No
259,Research & Development,Manager,5,Travel_Rarely,No
260,Research & Development,Research Scientist,1,Travel_Rarely,No
261,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
262,Research & Development,Research Scientist,1,Non-Travel,No
264,Research & Development,Manager,4,Non-Travel,No
267,Research & Development,Research Scientist,1,Travel_Rarely,Yes
269,Research & Development,Laboratory Technician,2,Travel_Frequently,No
270,Research & Development,Manufacturing Director,2,Non-Travel,No
271,Research & Development,Manufacturing Director,2,Travel_Rarely,No
273,Research & Development,Manufacturing Director,2,Travel_Rarely,No
274,Research & Development,Manufacturing Director,2,Travel_Frequently,No
275,Research & Development,Manufacturing Director,2,Non-Travel,Yes
277,Research & Development,Research Scientist,1,Travel_Frequently,Yes
281,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes
282,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
283,Sales,Sales Executive,3,Travel_Rarely,No
284,Research & Development,Research Scientist,1,Travel_Rarely,Yes
286,Research & Development,Laboratory Technician,1,Travel_Frequently,No
287,Research & Development,Healthcare Representative,2,Non-Travel,No
288,Research & Development,Healthcare Representative,3,Travel_Rarely,No
291,Sales,Sales Executive,3,Travel_Rarely,No
292,Research & Development,Manufacturing Director,3,Non-Travel,No
293,Sales,Sales Executive,2,Travel_Frequently,No
296,Research & Development,Research Director,3,Travel_Rarely,No
297,Research & Development,Research Scientist,1,Travel_Rarely,Yes
298,Sales,Manager,3,Travel_Rarely,Yes
299,Sales,Sales Executive,2,Travel_Frequently,No
300,Research & Development,Research Scientist,1,Travel_Rarely,No
302,Sales,Sales Executive,3,Non-Travel,No
303,Sales,Sales Executive,2,Travel_Rarely,No
304,Research & Development,Laboratory Technician,2,Travel_Rarely,No
305,Research & Development,Research Scientist,1,Travel_Rarely,No
306,Research & Development,Research Director,3,Travel_Frequently,Yes
307,Sales,Sales Executive,3,Travel_Rarely,No
308,Research & Development,Manufacturing Director,2,Non-Travel,No
309,Research & Development,Research Scientist,1,Travel_Rarely,No
311,Sales,Sales Representative,1,Travel_Frequently,No
312,Sales,Sales Executive,3,Travel_Frequently,No
314,Sales,Sales Executive,3,Travel_Frequently,No
315,Research & Development,Research Scientist,1,Travel_Rarely,Yes
316,Research & Development,Laboratory Technician,1,Travel_Rarely,No
319,Research & Development,Manager,5,Travel_Rarely,No
321,Human Resources,Human Resources,1,Travel_Rarely,No
323,Sales,Manager,5,Travel_Rarely,No
325,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
327,Sales,Manager,4,Travel_Rarely,Yes
328,Research & Development,Laboratory Technician,1,Travel_Rarely,No
329,Sales,Manager,5,Non-Travel,Yes
330,Sales,Sales Representative,1,Travel_Rarely,No
331,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
332,Research & Development,Laboratory Technician,1,Travel_Rarely,No
333,Sales,Sales Executive,2,Non-Travel,No
334,Research & Development,Research Scientist,2,Travel_Rarely,No
335,Research & Development,Research Scientist,2,Travel_Rarely,No
336,Research & Development,Manager,5,Travel_Rarely,No
337,Research & Development,Research Director,3,Travel_Frequently,No
338,Research & Development,Research Scientist,1,Travel_Rarely,No
339,Research & Development,Manufacturing Director,2,Travel_Rarely,No
340,Research & Development,Research Scientist,1,Travel_Rarely,No
341,Research & Development,Manufacturing Director,2,Travel_Frequently,No
342,Research & Development,Manufacturing Director,3,Travel_Frequently,No
343,Research & Development,Healthcare Representative,3,Travel_Frequently,No
346,Research & Development,Research Scientist,1,Travel_Rarely,No
347,Research & Development,Research Scientist,2,Travel_Rarely,Yes
349,Sales,Sales Executive,2,Travel_Rarely,No
350,Research & Development,Manufacturing Director,2,Travel_Rarely,No
351,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
352,Research & Development,Research Director,5,Travel_Rarely,No
353,Research & Development,Research Scientist,1,Travel_Rarely,No
355,Research & Development,Laboratory Technician,1,Travel_Frequently,No
359,Research & Development,Laboratory Technician,1,Travel_Frequently,No
361,Sales,Sales Executive,2,Non-Travel,No
362,Research & Development,Laboratory Technician,2,Travel_Rarely,No
363,Sales,Manager,4,Travel_Rarely,Yes
364,Research & Development,Laboratory Technician,1,Travel_Rarely,No
366,Sales,Sales Executive,2,Travel_Rarely,No
367,Research & Development,Healthcare Representative,2,Travel_Rarely,No
369,Research & Development,Healthcare Representative,2,Non-Travel,No
372,Research & Development,Healthcare Representative,4,Travel_Rarely,Yes
373,Research & Development,Laboratory Technician,1,Travel_Rarely,No
374,Research & Development,Manager,5,Travel_Rarely,Yes
376,Research & Development,Manager,3,Non-Travel,Yes
377,Research & Development,Research Scientist,1,Travel_Rarely,No
378,Sales,Sales Executive,2,Travel_Rarely,No
379,Research & Development,Research Scientist,1,Travel_Rarely,No
380,Research & Development,Research Director,3,Non-Travel,Yes
381,Research & Development,Manager,3,Travel_Rarely,No
382,Sales,Sales Executive,2,Travel_Rarely,Yes
384,Research & Development,Manufacturing Director,2,Travel_Frequently,No
385,Research & Development,Research Director,5,Travel_Rarely,No
386,Research & Development,Research Director,4,Travel_Rarely,Yes
387,Sales,Sales Executive,2,Travel_Rarely,No
388,Sales,Sales Executive,2,Travel_Frequently,No
389,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes
390,Research & Development,Healthcare Representative,2,Travel_Frequently,Yes
391,Research & Development,Research Scientist,1,Travel_Rarely,No
392,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
393,Research & Development,Healthcare Representative,2,Travel_Rarely,No
394,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
395,Research & Development,Research Scientist,1,Travel_Rarely,No
396,Research & Development,Research Director,5,Travel_Frequently,Yes
397,Research & Development,Research Scientist,2,Travel_Rarely,No
399,Sales,Sales Representative,1,Travel_Frequently,No
401,Sales,Sales Executive,2,Travel_Rarely,Yes
403,Research & Development,Research Scientist,1,Travel_Frequently,Yes
404,Sales,Sales Executive,4,Travel_Frequently,No
405,Research & Development,Laboratory Technician,1,Travel_Rarely,No
406,Sales,Sales Executive,3,Travel_Rarely,No
407,Research & Development,Laboratory Technician,1,Travel_Frequently,No
408,Research & Development,Manufacturing Director,2,Travel_Rarely,No
410,Sales,Manager,4,Travel_Rarely,No
411,Sales,Sales Representative,1,Travel_Rarely,No
412,Research & Development,Healthcare Representative,2,Travel_Rarely,No
416,Sales,Sales Executive,2,Travel_Rarely,No
417,Research & Development,Healthcare Representative,3,Travel_Rarely,No
419,Research & Development,Laboratory Technician,2,Non-Travel,No
420,Sales,Sales Executive,2,Travel_Rarely,No
421,Research & Development,Research Director,3,Travel_Rarely,No
422,Research & Development,Healthcare Representative,2,Non-Travel,Yes
423,Research & Development,Research Scientist,1,Travel_Rarely,Yes
424,Human Resources,Human Resources,2,Travel_Rarely,No
425,Research & Development,Laboratory Technician,3,Travel_Frequently,No
426,Research & Development,Research Scientist,1,Travel_Rarely,Yes
428,Research & Development,Manager,3,Travel_Frequently,No
429,Research & Development,Manager,4,Travel_Rarely,Yes
430,Research & Development,Laboratory Technician,1,Travel_Frequently,No
431,Research & Development,Healthcare Representative,4,Travel_Rarely,Yes
433,Research & Development,Research Scientist,2,Travel_Rarely,No
434,Research & Development,Research Scientist,1,Travel_Rarely,Yes
436,Sales,Sales Executive,2,Travel_Rarely,Yes
437,Sales,Sales Executive,2,Travel_Rarely,Yes
438,Sales,Sales Executive,2,Travel_Rarely,No
439,Research & Development,Research Scientist,2,Travel_Rarely,No
440,Research & Development,Research Scientist,1,Travel_Rarely,Yes
441,Research & Development,Research Scientist,2,Travel_Rarely,No
442,Research & Development,Manufacturing Director,3,Travel_Frequently,No
444,Research & Development,Manager,5,Travel_Frequently,No
445,Sales,Sales Executive,2,Travel_Rarely,Yes
446,Sales,Sales Executive,2,Travel_Frequently,No
447,Research & Development,Research Director,5,Travel_Rarely,No
448,Research & Development,Laboratory Technician,2,Travel_Frequently,No
449,Sales,Sales Executive,2,Non-Travel,Yes
450,Research & Development,Research Scientist,2,Travel_Frequently,No
451,Research & Development,Healthcare Representative,3,Travel_Rarely,No
452,Research & Development,Research Scientist,2,Travel_Rarely,No
453,Sales,Sales Executive,2,Travel_Rarely,Yes
454,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
455,Research & Development,Laboratory Technician,1,Travel_Rarely,No
456,Sales,Sales Executive,2,Travel_Rarely,No
458,Sales,Sales Executive,2,Travel_Rarely,No
460,Research & Development,Manufacturing Director,2,Travel_Rarely,No
461,Research & Development,Research Director,3,Travel_Rarely,Yes
462,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
463,Sales,Sales Executive,2,Travel_Rarely,Yes
464,Research & Development,Manufacturing Director,3,Travel_Rarely,No
465,Research & Development,Research Scientist,1,Travel_Rarely,No
466,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
467,Sales,Sales Representative,2,Travel_Frequently,No
468,Research & Development,Research Director,4,Travel_Rarely,No
469,Sales,Sales Executive,2,Non-Travel,No
470,Human Resources,Human Resources,1,Travel_Rarely,Yes
471,Research & Development,Laboratory Technician,1,Travel_Rarely,No
473,Sales,Manager,3,Travel_Rarely,No
474,Research & Development,Research Scientist,2,Travel_Rarely,Yes
475,Sales,Sales Executive,2,Non-Travel,Yes
476,Sales,Sales Executive,2,Travel_Rarely,No
477,Research & Development,Healthcare Representative,2,Travel_Rarely,No
478,Sales,Sales Representative,1,Travel_Frequently,Yes
479,Sales,Sales Executive,2,Non-Travel,No
481,Sales,Sales Executive,3,Travel_Frequently,No
482,Research & Development,Healthcare Representative,2,Travel_Rarely,No
483,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
484,Sales,Sales Representative,1,Non-Travel,No
485,Sales,Sales Representative,1,Travel_Rarely,Yes
486,Research & Development,Laboratory Technician,1,Travel_Rarely,No
487,Research & Development,Manufacturing Director,2,Non-Travel,No
488,Sales,Sales Executive,2,Travel_Frequently,No
491,Research & Development,Healthcare Representative,3,Travel_Rarely,No
492,Sales,Sales Executive,2,Travel_Rarely,Yes
493,Research & Development,Research Scientist,1,Travel_Rarely,Yes
494,Sales,Sales Representative,1,Travel_Rarely,No
495,Research & Development,Research Scientist,1,Travel_Rarely,No
496,Research & Development,Healthcare Representative,2,Travel_Rarely,No
497,Research & Development,Laboratory Technician,1,Travel_Rarely,No
498,Sales,Sales Executive,2,Travel_Rarely,No
499,Research & Development,Healthcare Representative,3,Travel_Rarely,No
500,Sales,Sales Executive,2,Travel_Rarely,No
501,Research & Development,Research Scientist,1,Travel_Rarely,No
502,Sales,Sales Executive,2,Non-Travel,Yes
505,Research & Development,Manager,4,Travel_Rarely,Yes
507,Sales,Sales Executive,2,Travel_Rarely,Yes
508,Sales,Sales Representative,1,Travel_Rarely,No
510,Research & Development,Research Scientist,1,Travel_Frequently,No
511,Research & Development,Research Scientist,1,Travel_Rarely,No
513,Sales,Sales Executive,3,Travel_Rarely,No
514,Research & Development,Research Scientist,1,Travel_Frequently,Yes
515,Research & Development,Laboratory Technician,1,Travel_Rarely,No
516,Sales,Sales Executive,2,Travel_Rarely,No
517,Research & Development,Laboratory Technician,1,Travel_Rarely,No
518,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes
520,Research & Development,Research Director,4,Travel_Rarely,No
521,Research & Development,Laboratory Technician,2,Travel_Rarely,No
522,Research & Development,Research Director,5,Travel_Rarely,No
523,Sales,Sales Executive,2,Non-Travel,No
524,Research & Development,Manufacturing Director,2,Travel_Rarely,No
525,Research & Development,Laboratory Technician,1,Travel_Frequently,No
526,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes
527,Sales,Sales Executive,2,Travel_Rarely,Yes
529,Research & Development,Research Scientist,2,Non-Travel,Yes
530,Research & Development,Laboratory Technician,1,Travel_Rarely,No
531,Research & Development,Manager,5,Travel_Frequently,Yes
532,Sales,Sales Executive,4,Travel_Frequently,No
533,Sales,Sales Executive,2,Travel_Rarely,No
534,Sales,Sales Executive,3,Travel_Rarely,No
536,Research & Development,Laboratory Technician,2,Travel_Rarely,No
538,Research & Development,Laboratory Technician,1,Travel_Rarely,No
543,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
544,Research & Development,Research Scientist,1,Travel_Rarely,No
546,Research & Development,Manager,4,Travel_Rarely,No
547,Research & Development,Research Scientist,2,Travel_Frequently,No
548,Research & Development,Manufacturing Director,2,Travel_Rarely,No
549,Research & Development,Manager,5,Travel_Rarely,No
550,Research & Development,Manufacturing Director,2,Travel_Rarely,No
551,Research & Development,Healthcare Representative,2,Travel_Frequently,No
554,Sales,Sales Representative,1,Travel_Rarely,Yes
555,Sales,Sales Representative,1,Travel_Frequently,No
556,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
558,Sales,Manager,5,Travel_Rarely,No
560,Research & Development,Research Scientist,1,Travel_Rarely,No
562,Research & Development,Laboratory Technician,1,Non-Travel,No
564,Research & Development,Research Director,3,Travel_Rarely,No
565,Research & Development,Research Scientist,1,Travel_Rarely,No
566,Human Resources,Human Resources,1,Travel_Rarely,No
567,Sales,Sales Executive,3,Non-Travel,No
568,Sales,Manager,4,Travel_Rarely,No
569,Research & Development,Manager,4,Travel_Rarely,No
571,Research & Development,Laboratory Technician,1,Non-Travel,No
573,Sales,Sales Executive,3,Travel_Frequently,No
574,Research & Development,Manufacturing Director,2,Travel_Rarely,No
575,Research & Development,Research Director,4,Travel_Rarely,No
577,Research & Development,Laboratory Technician,1,Travel_Rarely,No
578,Research & Development,Laboratory Technician,2,Travel_Rarely,No
579,Research & Development,Research Scientist,1,Travel_Rarely,No
580,Sales,Sales Executive,3,Travel_Rarely,Yes
581,Research & Development,Manufacturing Director,3,Travel_Rarely,No
582,Research & Development,Manager,3,Travel_Rarely,Yes
584,Research & Development,Laboratory Technician,1,Travel_Rarely,No
585,Sales,Sales Representative,1,Travel_Rarely,No
586,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes
587,Research & Development,Healthcare Representative,3,Travel_Frequently,No
590,Human Resources,Human Resources,3,Travel_Frequently,Yes
591,Research & Development,Laboratory Technician,1,Travel_Frequently,No
592,Sales,Sales Executive,3,Non-Travel,No
593,Research & Development,Laboratory Technician,1,Travel_Frequently,No
595,Sales,Sales Executive,2,Travel_Rarely,No
597,Sales,Manager,4,Travel_Rarely,No
599,Sales,Sales Executive,2,Non-Travel,No
600,Sales,Sales Executive,2,Travel_Rarely,No
601,Research & Development,Manufacturing Director,4,Travel_Rarely,No
602,Research & Development,Laboratory Technician,1,Travel_Frequently,No
604,Sales,Sales Executive,2,Travel_Rarely,Yes
605,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes
606,Sales,Sales Executive,2,Travel_Rarely,No
608,Human Resources,Human Resources,1,Travel_Frequently,Yes
611,Research & Development,Manufacturing Director,2,Travel_Rarely,No
612,Research & Development,Research Director,4,Travel_Rarely,No
613,Sales,Manager,3,Travel_Rarely,No
614,Sales,Sales Representative,1,Travel_Frequently,Yes
615,Sales,Sales Executive,3,Non-Travel,No
616,Research & Development,Healthcare Representative,2,Non-Travel,Yes
618,Sales,Sales Executive,2,Travel_Rarely,No
620,Sales,Sales Executive,2,Travel_Rarely,No
621,Sales,Sales Executive,2,Travel_Rarely,No
622,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes
623,Research & Development,Manufacturing Director,3,Travel_Rarely,No
624,Research & Development,Healthcare Representative,3,Travel_Frequently,No
625,Sales,Manager,4,Travel_Rarely,No
626,Sales,Sales Executive,3,Non-Travel,No
630,Research & Development,Research Scientist,2,Travel_Rarely,Yes
631,Sales,Sales Executive,2,Non-Travel,No
632,Sales,Sales Representative,1,Travel_Frequently,No
634,Research & Development,Healthcare Representative,2,Travel_Rarely,No
635,Research & Development,Manufacturing Director,2,Travel_Rarely,No
638,Research & Development,Research Director,5,Travel_Rarely,Yes
639,Research & Development,Research Scientist,1,Travel_Rarely,Yes
641,Sales,Sales Executive,2,Travel_Rarely,No
643,Research & Development,Laboratory Technician,1,Travel_Rarely,No
644,Human Resources,Manager,5,Travel_Frequently,No
645,Sales,Sales Representative,1,Travel_Rarely,No
647,Research & Development,Laboratory Technician,1,Travel_Frequently,Yes
648,Sales,Sales Representative,1,Travel_Frequently,No
649,Research & Development,Research Scientist,1,Travel_Rarely,Yes
650,Sales,Sales Executive,2,Travel_Rarely,No
652,Research & Development,Laboratory Technician,2,Travel_Rarely,No
653,Sales,Sales Executive,2,Travel_Rarely,No
655,Research & Development,Research Scientist,1,Travel_Rarely,No
656,Sales,Sales Executive,2,Travel_Rarely,Yes
657,Research & Development,Research Scientist,1,Travel_Rarely,No
659,Research & Development,Healthcare Representative,2,Travel_Rarely,No
661,Research & Development,Research Director,4,Travel_Rarely,Yes
662,Research & Development,Research Scientist,1,Travel_Rarely,No
663,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes
664,Research & Development,Manager,4,Travel_Rarely,No
665,Human Resources,Human Resources,2,Travel_Rarely,No
666,Sales,Sales Representative,1,Travel_Rarely,Yes
